"name","vcenter","site","ipadd4","ipadd6","cluster","datastore","portgroup","privnet","mac","dhcpfqdn"
"de-rhr-bang1zz40-01","rhr1-vc06.por-ngcs.lan","rhr1","212.227.42.135","2001:8d8:181f:8000::4d","rhr1-vc06-cl01","ds_rhr1_site_internal2_01","vmvlan286","privnet3799","00:50:56:ba:11:e1","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz40-02","rhr1-vc06.por-ngcs.lan","rhr1","212.227.42.136","2001:8d8:181f:8000::4c","rhr1-vc06-cl03","ds_rhr1_site_internal3_01","vmvlan286","privnet3799","00:50:56:ba:cc:5a","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz41-01","rhr1-vc06.por-ngcs.lan","rhr1","212.227.42.137","2001:8d8:181f:8000::4f","rhr1-vc06-cl01","ds_rhr1_site_internal2_01","vmvlan287","privnet3799","00:50:56:ba:e9:d1","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz41-02","rhr1-vc06.por-ngcs.lan","rhr1","212.227.42.138","2001:8d8:181f:8000::4e","rhr1-vc06-cl03","ds_rhr1_site_internal3_01","vmvlan287","privnet3799","00:50:56:ba:ac:e3","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz42-01","rhr1-vc06.por-ngcs.lan","rhr1","212.227.42.139","2001:8d8:181f:8000::51","rhr1-vc06-cl01","ds_rhr1_site_internal2_01","vmvlan288","privnet3799","00:50:56:ba:dc:d3","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz42-02","rhr1-vc06.por-ngcs.lan","rhr1","212.227.42.140","2001:8d8:181f:8000::50","rhr1-vc06-cl03","ds_rhr1_site_internal3_01","vmvlan288","privnet3799","00:50:56:ba:d8:74","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz43-01","rhr1-vc07.por-ngcs.lan","rhr1","212.227.42.141","2001:8d8:181f:8000::53","rhr1-vc07-cl01","ds_rhr1_site_internal2_01","vmvlan289","privnet3799","00:50:56:9a:8e:2a","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz43-02","rhr1-vc07.por-ngcs.lan","rhr1","212.227.42.142","2001:8d8:181f:8000::52","rhr1-vc07-cl03","ds_rhr1_site_internal3_01","vmvlan289","privnet3799","00:50:56:9a:c4:8c","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz44-01","rhr1-vc07.por-ngcs.lan","rhr1","212.227.42.143","2001:8d8:181f:8000::55","rhr1-vc07-cl01","ds_rhr1_site_internal2_01","vmvlan290","privnet3799","00:50:56:9a:b2:a3","rhr1-dhcp9.por-ngcs.lan"
"de-rhr-bang1zz44-02","rhr1-vc07.por-ngcs.lan","rhr1","212.227.42.144","2001:8d8:181f:8000::54","rhr1-vc07-cl03","ds_rhr1_site_internal3_01","vmvlan290","privnet3799","00:50:56:9a:c2:0b","rhr1-dhcp9.por-ngcs.lan"
