"name","vcenter","site","ipadd4","ipadd6","cluster","datastore","portgroup","privnet","mac","dhcpfqdn"
"es-lgr-lpng3zz305-01","por-intvc1.por-ngcs.lan","por3","82.223.186.76","2001:ba0:181f:8000::201","por3-network","ds_int1_net_01","nws-vmvlan301","nws-dummy","00:50:56:9a:d9:be","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz305-02","por-intvc1.por-ngcs.lan","por3","82.223.186.77","2001:ba0:181f:8000::202","por3-network","ds_int2_net_01","nws-vmvlan301","nws-dummy","00:50:56:9a:6a:6e","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz306-01","por-intvc1.por-ngcs.lan","por3","82.223.186.78","2001:ba0:181f:8000::203","por3-network","ds_int1_net_01","nws-vmvlan302","nws-dummy","00:50:56:9a:8e:28","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz306-02","por-intvc1.por-ngcs.lan","por3","82.223.186.79","2001:ba0:181f:8000::204","por3-network","ds_int2_net_01","nws-vmvlan302","nws-dummy","00:50:56:9a:e1:22","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz307-01","por-intvc1.por-ngcs.lan","por3","82.223.186.80","2001:ba0:181f:8000::205","por3-network","ds_int1_net_01","nws-vmvlan303","nws-dummy","00:50:56:9a:e3:eb","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz307-02","por-intvc1.por-ngcs.lan","por3","82.223.186.81","2001:ba0:181f:8000::206","por3-network","ds_int2_net_01","nws-vmvlan303","nws-dummy","00:50:56:9a:bb:20","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz308-01","por-intvc1.por-ngcs.lan","por3","82.223.186.82","2001:ba0:181f:8000::207","por3-network","ds_int1_net_01","nws-vmvlan304","nws-dummy","00:50:56:9a:eb:c0","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz308-02","por-intvc1.por-ngcs.lan","por3","82.223.186.83","2001:ba0:181f:8000::208","por3-network","ds_int2_net_01","nws-vmvlan304","nws-dummy","00:50:56:9a:aa:cc","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz309-01","por-intvc1.por-ngcs.lan","por3","82.223.186.84","2001:ba0:181f:8000::209","por3-network","ds_int1_net_01","nws-vmvlan305","nws-dummy","00:50:56:9a:4c:de","por3-dhcp1.por-ngcs.lan"
"es-lgr-lpng3zz309-02","por-intvc1.por-ngcs.lan","por3","82.223.186.85","2001:ba0:181f:8000::20a","por3-network","ds_int2_net_01","nws-vmvlan305","nws-dummy","00:50:56:9a:a2:ed","por3-dhcp1.por-ngcs.lan"
