"name","ipadd4","ipadd6","cluster","portgroup","privnet","mac","dhcpfqdn"
"de-rhr-bang2zz269-01","212.227.42.121","2001:8d8:181f:8000::181","rhr2-vc12-cl01","vmvlan365","privnet3799","00:50:56:ae:e6:3e","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz269-02","212.227.42.122","2001:8d8:181f:8000::182","rhr2-vc12-cl02","vmvlan365","privnet3799","00:50:56:ae:3b:a4","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz270-01","212.227.42.123","2001:8d8:181f:8000::183","rhr2-vc12-cl01","vmvlan366","privnet3799","00:50:56:ae:d9:38","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz270-02","212.227.42.124","2001:8d8:181f:8000::184","rhr2-vc12-cl02","vmvlan366","privnet3799","00:50:56:ae:83:91","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz271-01","212.227.42.125","2001:8d8:181f:8000::185","rhr2-vc12-cl01","vmvlan367","privnet3799","00:50:56:ae:03:4f","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz271-02","212.227.42.126","2001:8d8:181f:8000::186","rhr2-vc12-cl02","vmvlan367","privnet3799","00:50:56:ae:90:45","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz272-01","212.227.42.127","2001:8d8:181f:8000::187","rhr2-vc12-cl01","vmvlan368","privnet3799","00:50:56:ae:b9:61","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz272-02","212.227.42.128","2001:8d8:181f:8000::188","rhr2-vc12-cl02","vmvlan368","privnet3799","00:50:56:ae:fc:b5","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz273-01","212.227.42.129","2001:8d8:181f:8000::189","rhr2-vc13-cl01","vmvlan369","privnet3799","00:50:56:ac:e8:52","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz273-02","212.227.42.130","2001:8d8:181f:8000::18a","rhr2-vc13-cl02","vmvlan369","privnet3799","00:50:56:ac:f5:9d","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz274-01","212.227.42.131","2001:8d8:181f:8000::18b","rhr2-vc13-cl01","vmvlan370","privnet3799","00:50:56:ac:92:3b","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz274-02","212.227.42.132","2001:8d8:181f:8000::18c","rhr2-vc13-cl02","vmvlan370","privnet3799","00:50:56:ac:1c:3b","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz275-01","212.227.42.133","2001:8d8:181f:8000::18d","rhr2-vc13-cl01","vmvlan371","privnet3799","00:50:56:ac:f5:87","rhr2-dhcp15.por-ngcs.lan"
"de-rhr-bang2zz275-02","212.227.42.134","2001:8d8:181f:8000::18e","rhr2-vc13-cl02","vmvlan371","privnet3799","00:50:56:ac:1d:cd","rhr2-dhcp15.por-ngcs.lan"
